fine_label	utterance
flight	information on a flight from san francisco to philadelphia
flight	i would like a flight from boston to denver on monday
flight	i need a flight from philadelphia to boston
flight	please show me all the flights from boston
flight	i would like to fly to san francisco from washington dc
flight	what is the cheapest flight from pittsburgh to atlanta leaving on october fifth
flight	morning flights from pittsburgh to atlanta on wednesday
flight	show me flights from atlanta to baltimore denver and dallas
ground_service	please list the rental car information in pittsburgh
flight	show me one way flights from milwaukee to orlando leaving on wednesday morning
flight	i 'd like to fly united airlines from washington to denver
flight	i want to find a flight from boston to atlanta
flight	what flights are available from denver to philadelphia on monday
flight	i need information from denver to pittsburgh
flight	what are the flights between pittsburgh and san francisco
distance	what is the distance from san francisco international airport to san francisco
flight	do you have any flights from pittsburgh to boston on wednesday of next week in the morning
airfare	would you tell me the cheapest one way fare from boston to oakland
airline	show me the airlines that fly from denver to san francisco
flight	show flights leaving boston on wednesday morning and arriving in denver
flight	show me morning flights from atlanta to philadelphia
flight	what flights from atlanta to st. louis on tuesday arriving around 230 pm
flight	list nonstop flights from houston to dallas which arrive after 8 pm
flight	what 's the cheapest flight from baltimore to dallas on american
flight	what night flight do you have from san francisco to denver on united on the evening of august twenty seventh
flight	show me flights from philadelphia to baltimore
flight	show me all the delta flights leaving or arriving at pittsburgh between 12 and 4 in the afternoon
flight	show me all flights from new york to miami leaving on a tuesday and show me all flights from miami to new york leaving on sunday
flight	show me flights from baltimore to philadelphia arriving after 2100
flight	show me all flights with fares from pittsburgh to san francisco
flight	tell me about flights from st. petersburg arriving in toronto before noon
flight	do you have any direct flights from pittsburgh to atlanta
flight	i would like some information on a flight from denver to san francisco on united airlines
flight	i need a flight from new york to toronto thursday may six arriving by noon
ground_service	list ground transportation options at phoenix
flight	are there any flights between pittsburgh and baltimore using a j31 aircraft
flight	i 'd like to fly from philadelphia to san francisco with a stopover in dallas
aircraft	what aircraft is co 1209
flight	i would like to book a flight from los angeles to pittsburgh on june first
flight	list flights from dallas to san francisco
flight	show all flights on lufthansa airlines out of boston
flight	i would like the first flight into houston from dallas on march first and the last flight from houston to dallas on march first
flight	show me all the flights from denver to las vegas
flight	please list all united flights between pittsburgh and baltimore
flight	flights from montreal to las vegas
flight	what are the flights that leave detroit and arrive in chicago around 7 pm next wednesday
flight	show me the flights from cleveland to memphis
flight	information on flights from denver to philadelphia
airfare	show me any show me what the first class fares are of the flights from pittsburgh to san francisco on monday
flight	what flights from boston arrive in dallas fort worth before 5 pm
flight	show me all united flights from denver to san francisco for september first 1991
flight	i need a return flight from chicago to kansas city leaving chicago around 7 in the evening on the day following next wednesday
ground_service	show me ground transportation in dallas please
unk	what are the morning flights from boston to philadelphia
flight	show me the last flight from denver to boston
airfare	show me fares from houston to las vegas
airfare	can you show me the economy fare flights from baltimore to dallas
flight	i want all flights from atlanta to washington dc on thursday
flight	please give me the flights available from boston to pittsburgh on wednesday of next week
flight	does flight ua 270 from denver to philadelphia have a meal
flight	show me the flights that go from atlanta to washington on thursday mornings
flight	friday 's flights between newark and tampa
flight	i need a flight from charlotte to newark leaving today evening
unk	what 's the lowest round trip fare from bwi to any city
aircraft	what is the aircraft type with the greatest seating capacity
flight	does american airlines have a flight from pittsburgh to atlanta
flight	what is the latest flight in the day to arrive in boston from baltimore
flight+airfare	first flights and fares from pittsburgh to atlanta on a thursday
flight	what flights from st. paul to kansas city on friday with lunch served
unk	what are the flights from pittsburgh to oakland
flight	i need information on a flight from boston to denver
flight	can you show me the flights from dallas to baltimore with economy fares
flight	i also need to go to san francisco on wednesday evening from dallas
airfare	i 'd like a round trip ticket from los angeles to tacoma washington
abbreviation	what is yyz
abbreviation	what does ewr mean
flight	flight from dc to salt lake city
flight	what is the most expensive flight from boston to dallas round trip
ground_service	show me ground transportation in boston
flight	i need a flight from toronto to montreal reaching montreal early on friday
flight	list the three earliest flights from atlanta to philadelphia on wednesday
flight	what flights are available friday afternoon from pittsburgh to san francisco
flight	could you tell me the flights leaving pittsburgh around midnight for oakland
flight	i want to know what flights you have available coach or economy class from baltimore to dallas
flight	what is the first flight from boston to san francisco on saturday
ground_service	what ground transportation is available in baltimore for the day after tomorrow
flight	can you tell me the latest evening flight from atlanta to denver on july seventh
flight	i would like to fly from salt lake city back to st. petersburg on wednesday
flight	i would like a flight from philadelphia to dallas
flight	is there a flight from atlanta to san francisco which connects in dallas
flight	i 'd like to know the earliest flight from boston to san francisco
flight	are there any flights from denver to atlanta with stops in pittsburgh
airfare	fares and flights from pittsburgh to philadelphia
ground_service	and i 'll need ground transportation for tuesday july sixth to wednesday july seventh in san diego
flight	what is the cheapest flight from washington to san francisco on friday
airfare	how much does it cost to fly from boston to baltimore on a saturday
flight	what are the morning flights from nashville to tacoma and from nashville to san jose in the next two days
flight_time	show me the flight schedule from pittsburgh to san francisco
flight	i would like to fly on american airlines from baltimore to san francisco
flight	i would like an evening flight from pittsburgh to los angeles on june third
flight	on may four atlanta to denver delta flight 257
flight	i 'm interested in a flight from dallas to washington and i 'm also interested in going to baltimore
flight	flights from pittsburgh to baltimore between 10 am and 2 pm
airfare	round trip fares from baltimore to philadelphia under 1000 dollars
flight	i want the cheapest flight from pittsburgh to atlanta
flight	does delta airline fly from denver to pittsburgh
flight	i 'd like to fly from cleveland to indianapolis tomorrow morning as early as possible what 's available
flight	can you show me flights from baltimore to dallas
flight	do you have a flight from boston to san francisco with a stopover in fort worth dallas
flight	list all flights leaving san francisco monday afternoon arriving in pittsburgh
flight_no	list the number of flights arriving in dallas fort worth from boston before noon
flight	what northwest airline flights leave denver before noon
flight	show me the earliest flight from boston to san francisco
flight	please list the sunday flights from dallas to houston on american airlines
flight	i want a flight from houston to memphis on tuesday morning
flight	show the flights from pittsburgh to san francisco again on monday
airline	show me the airlines that fly from san francisco to boston
flight	on eastern flight 825 from atlanta to denver can you tell me what type of aircraft used before 12 noon
airline	show all airlines with flights between denver and dallas
airfare	what are the coach fares for flights from charlotte to newark tuesday afternoon
flight	i 'd like a flight tomorrow from kansas city to newark in the morning
unk	what is the cheapest flight from boston to san francisco
ground_service	what kinds of ground transportation is available in dallas fort worth
flight	now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday
airfare	i need 2 first class tickets from dallas fort worth to san francisco
flight	show me the flights from toronto to salt lake city which leave toronto after 6 pm
flight	what is the earliest flight from washington to atlanta leaving on wednesday september fourth
flight	information on american airlines from fort worth texas to philadelphia
flight	list all flights from minneapolis to long beach on saturday
flight	show me all flights arriving to denver from oakland
abbreviation	what is ewr
flight	show me the list of flights from philadelphia to denver that leave in the afternoon
flight	i want to leave oakland and arrive in boston at 5 o'clock in the afternoon
flight	show me all flights from denver to san francisco next wednesday which leave after noon
flight	show me flights from boston to denver
airfare	show me fares from baltimore to philadelphia
flight	what 's the earliest flight from boston to bwi that serves lunch
flight	is there a flight leaving san francisco to denver
flight	okay all right do you have a flight on united airlines from atlanta to washington
ground_service	are there any limousines or taxi services available at the boston airport
flight	list the takeoffs and landings at general mitchell international
flight	show me the cheapest flight arriving in baltimore on june fourteenth starting from dallas
flight	i am also interested in a flight that runs from st. louis to las vegas
flight	what flights stop in atlanta before noon
flight	how do you get from the airport to downtown dallas please
airline	which airline has the most arrivals in atlanta
ground_service	can i rent a car in san jose too
flight	i 'm starting from denver
flight	what is the first flight from atlanta to baltimore that serves lunch
flight	what flights leave after 7 pm from philadelphia to boston
flight	flight information on january twenty third from denver to san francisco
airfare	show me the coach fares from baltimore to dallas
flight	on thursday i 'd like a flight from st. petersburg to miami
flight	show me all flights both direct and connecting to either san francisco or oakland from boston that arrive before 2 pm
unk	okay how about a flight on sunday from tampa to charlotte
flight	what 's the earliest flight leaving denver for pittsburgh
flight	i want a flight from milwaukee to orlando one way leaving after 5 pm on wednesday
flight	what is the earliest flight from atlanta to boston
flight	what is the latest first class flight of the day leaving dallas for san francisco
flight	i want a flight from boston to atlanta
abbreviation	what does ea mean
flight_no	flight numbers from minneapolis to long beach on june twenty six
flight	find the flights that leave philadelphia and arrive in dallas by noon
flight_time	i would like the time your earliest flight from washington to philadelphia
flight	show me the flights from boston to san francisco
flight	could you show me all flights from montreal to charlotte
airfare	show me fares for flights from minneapolis to seattle on july first 1993
flight_time	i would like a schedule of flights from san francisco to boston on wednesday
aircraft	please tell me the type of aircraft used from atlanta to denver before 12 o'clock noon
flight	show me the flights from pittsburgh to baltimore
flight	show me flights from pittsburgh to dc
flight	show me the evening flights from philadelphia to baltimore
flight	does midwest express serve montreal
aircraft	what type of aircraft leaving philadelphia to dallas
flight	what is the earliest flight leaving boston on july first to dallas on july first
airport	show me airports near washington dc
flight	i 'd like a twa flight from atlanta to pittsburgh with a stopover in fort worth dallas please
flight	show me flights leaving from san francisco to denver on september thirtieth
flight	american flights from cincinnati to houston
airfare	show me round trip fares from new york to miami
flight	okay and then from pittsburgh i 'd like to travel to atlanta on september fourth
flight	i would like a flight from oakland to philadelphia at one in the afternoon arriving at 5 pm
ground_service	what ground transportation is available in atlanta
airfare	what is the least expensive one way fare from boston to san francisco
aircraft	what type of aircraft leaving after 2 pm from boston to oakland
flight	list the flights from salt lake city to st. petersburg
flight	please list all flights between indianapolis and orlando on the twenty seventh of december
flight	i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore
flight	do you have a flight from salt lake city to st. petersburg on june second
flight	flight from milwaukee to denver
flight	list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am
flight	flight information from oakland to denver
flight	show me the flights out of love field
flight	i need flight information leaving atlanta and arriving in baltimore for monday
airfare	what is the fare on the thrift economy flight from boston to san francisco
flight	show all flights between san francisco and philadelphia for september fifteenth
ground_service	tell me about ground transportation in st. petersburg airport
flight	show me the flights from boston to fort worth on the morning of july tenth 1991
flight	show me the flights from san diego to san francisco on southwest airlines
airfare	list the fares of the delta airlines flights from boston to philadelphia
airfare	what is the cheapest one way fare from boston to baltimore
flight	i need an early flight from denver to san francisco please and i would like breakfast served on that
flight	i need a flight from philadelphia to denver on sunday
flight	is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 5 pm
airfare	show me fares leaving on tuesdays from denver to dallas
flight	please list all flights tuesday dallas atlanta
ground_service	show me the ground transportation schedule in san francisco on thursday evening
flight	i need to book a flight from newark to tampa on april fourth
flight	what 're the cheapest nonstop flights from new york to miami one way
flight	what is the last flight from baltimore to boston
ground_service	can you tell me about ground transportation between the dallas airport and downtown dallas
flight	list all american airlines flights from phoenix to milwaukee which arrive on wednesday after 4 pm
abbreviation	what does the fare code f mean
flight	on november twenty third of this year 1991 i 'd like to fly from atlanta to denver and i 'd like to fly on delta
ground_service	while i 'm in pittsburgh what ground transportation is available
flight	what flights leave charlotte north carolina and arrive in phoenix arizona on monday before 4 pm
flight	what flights are available saturday to san francisco from dallas
flight	find me a flight from atlanta to baltimore
flight	i need to fly from boston to baltimore please give me the times of your flights in the morning before 8 o'clock
flight	could you tell me if delta flight 296 serves breakfast
airline	show me the airlines for flights to or from love field
airfare	first class fares from dallas to baltimore please
unk	does midwest express serve cleveland
flight	display all flights from baltimore to boston on july twenty ninth
airline	what airlines service pittsburgh airport
flight	please give me the earliest flight tomorrow from st. petersburg to milwaukee
flight	flight from denver to boston
flight	list all daily flights between boston and oakland using delta airlines
flight	list all direct flights from boston to denver
flight	now show me the flights from denver to philadelphia on a saturday
aircraft	on the 8 am flight from san francisco to atlanta what type of aircraft is used
flight	show me a list of flights on july twenty second leaving dc to dallas leaving dc after 6 pm
flight	i 'd like to see flights from baltimore to atlanta that arrive before noon and i 'd like to see flights from denver to atlanta that arrive before noon
airfare	please show me again the first class fares from baltimore to dallas
flight	on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555
flight	what 's the cheapest one way flight from denver to pittsburgh
flight	list all flights at general mitchell international
airfare	how much does flight ua 297 from denver to san francisco cost
flight	give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee
flight	what flights from las vegas to phoenix on saturday
ground_service	is there ground transportation between airport and downtown in boston
flight	what are the flights from boston to san francisco
flight	what 's the first flight from boston to san francisco
flight	what is the earliest flight from tampa to milwaukee tomorrow
flight	which nonstop flight from atlanta to oakland leaves in the afternoon and arrives at 5 pm
flight	like information on flights from san francisco to boston on thursday morning
flight	i would like information information on flights from san francisco to denver on thursday morning
airfare	i would like to know the first class fare on a flight from baltimore to denver
ground_service	is there ground transportation in boston from the airport
flight	what 's the latest flight from san jose to houston
aircraft	what type of airplane is an m80
flight	show me all the flights from montreal to detroit
airfare	show me the most expensive one way first class fare from baltimore to dallas
ground_service	what ground transportation is there in dallas
airfare	how much is a round trip fare from indianapolis to seattle
unk	list the flights from pittsburgh to san francisco on thursday
flight	show me all flights from san francisco to atlanta
airfare	what is the round trip fare on continental 1291 from dallas to san francisco and return
flight	show me the flights from love field to all other airports
flight	show me all daily flights out of boston that have coach class
flight	show me all flights arriving to denver from baltimore oakland and boston
unk	what does nw stand for
unk	show all flights philadelphia to dallas
flight	show me all the flights from toronto on nationair
flight	find travel arrangements for a round trip flight from baltimore to pittsburgh after 8 o'clock pm before 10 o'clock pm
airfare	i 'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible
flight	list flights from atlanta to boston on wednesday afternoon
flight	i would like to fly from atlanta to denver on september fifteenth
flight	give me the flights for american airline from philadelphia to dallas
abbreviation	what is restriction ap 57
flight	what 's a flight that goes from baltimore to seattle
unk	i would like to see the flights from denver to philadelphia
airfare	what is the price of business class from boston to san francisco on twa
flight	i need information on flights leaving dallas arriving in boston leaving dallas early in the morning
flight	what flights from pittsburgh to atlanta on wednesday morning serves breakfast
flight	what are the flights from milwaukee to orlando on thursday
flight	are there any flights next monday morning from pittsburgh to san francisco
unk	explain the restriction ap 80
flight	show me flights from denver to philadelphia
flight	i need to fly from boston to denver this monday
flight	looking for flights in toronto to san diego
flight	could you please find me the earliest flight from boston to oakland
flight	i 'd like a flight from indianapolis to toronto leaving thursday morning nonstop
flight	i want a flight from long beach to st. louis that stops in dallas
flight_time	what time does flight aa 459 depart
flight	list all nonstop flights from newark to tampa leaving on friday
airfare	what is the cost for a one way trip from pittsburgh to atlanta
flight	show flights from denver to oakland that arrive after 12 o'clock
aircraft	what type of aircraft are used on flights from cleveland to dallas that leave before noon
flight	list flights from pittsburgh to san francisco
flight	please list all flights on united airlines and northwest which go to denver
flight	is there a flight in the afternoon from philadelphia that arrives in the evening in denver
flight	i 'd like to find a flight from miami florida to las vegas nevada that would arrive before 4 pm on sunday
flight	in the next two days i want to fly from nashville to san jose or to tacoma
flight	wednesday morning flights between baltimore and newark
flight	what flights do you have leaving boston going to san francisco
flight	what flights go from dallas to denver after 3 pm
unk	show me the evening flights from philadelphia to baltimore
flight	show me all flights from kansas city to chicago on june sixteenth arriving around 7 o'clock in the evening
flight	please show me united nonstop flights between boston and san francisco departing around 5 in the evening
abbreviation	what is restriction ap 80
flight	i would like a list of the round trip flights between indianapolis and orlando on the twenty seventh or the twenty eighth of december
flight	baltimore to philadelphia
flight	flights from boston flights from philadelphia to boston on monday
flight	i 'm looking for a flight from boston to denver that has no stopovers and is only in the afternoon
flight	show me all flights from pittsburgh to atlanta which leave after 5 o'clock pm tomorrow
ground_service	ground transportation from airport in boston to downtown boston
flight	from denver to washington dc on monday november eleventh 1991
flight	i need a flight from san francisco to boston that leaves after 10 pm
airfare	can you list the cheapest round trip fare from orlando to kansas city
flight	what about a flight from boston to san francisco stopping in denver
flight	tell me about flights from toronto to salt lake city leaving after 530 pm
flight	please give me flights leaving san francisco and going to pittsburgh
flight	what are the dinner flights from indianapolis to san diego on wednesday may twelfth
flight	show me the flights from boston to dallas
ground_service	what limousine service in los angeles
flight	list possible round trip daily flights between boston and oakland
flight	show me the list of us air flights between boston and dc
airfare	cheapest fare from memphis to seattle
flight	show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm
flight	show me all flights from san francisco to washington dc
flight	i would like to see the flights from baltimore to philadelphia again
abbreviation	what does fare code qo mean
flight	show me the flights arriving at love field from all other airports
quantity	how many american airline flights leave denver june tenth
flight	show me all midwest express flights from detroit to chicago
airfare	economy fares new york to miami round trip
abbreviation	does dl stand for delta
abbreviation	what is fare code h
flight_time	what is the flight schedule of the f28 from pittsburgh to baltimore
flight	list all the flights that takeoff from general mitchell international
flight	do you have a united flight from dallas to san francisco
ground_service	ground transportation philadelphia
flight	show me all the flights on united leaving from boston
flight	show me one way flights from tampa to st. louis departing before 10 am
flight	i would like to fly from atlanta to boston arriving in boston at 5 pm
flight	show flights from dallas to san francisco
flight	now i 'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm
flight	okay on tuesday june first i 'd like to go from phoenix to detroit in the late afternoon
flight	what 's the cheapest flight from denver to pittsburgh for both one way and round trip flights
ground_service	show me ground transport in seattle
flight	does lufthansa fly between boston and oakland
flight	please show me continental flights from san francisco to pittsburgh on friday
unk	what is the fare from boston to san francisco on united airlines flight 21
flight	what 's the latest flight from san jose to houston
airline	show me airline abbreviations
flight	from phoenix to denver on a monday
flight	could you tell me what flights you have that run daily from boston to san francisco please
airfare	i 'd like to have some information on a ticket from denver to atlanta with a stop in pittsburgh
flight	on monday i would like to travel from charlotte north carolina to phoenix arizona i would like to arrive in phoenix before 4 pm
flight	a first class flight on american to san francisco on tuesday in the next week
aircraft	list types of aircraft that fly between boston and san francisco
flight	i would like to fly from boston to denver early in the morning
unk	what flights are there arriving in chicago on continental after 11 pm
flight	united airlines flights stopping in denver before noon
flight	what is the latest flight from salt lake city to st. petersburg
flight	i 'm flying from boston to the bay area
flight	list all flights from denver to philadelphia
airfare	what is the least expensive fare from baltimore to san francisco leaving on september thirtieth
flight	show me some information on making a reservation from philadelphia to denver on sunday
flight	philadelphia to san francisco next week tuesday show the flights
flight	i need a flight from kansas city to newark on the first of july
flight	what is the cheapest flight from denver to pittsburgh on july twenty sixth
airfare	how much does a first class ticket cost from boston to san francisco round trip
unk	do you have a flight from san francisco to atlanta around 8 am
flight	please give me flights available from denver to philadelphia
unk	i need a flight from new york to montreal thursday may six arriving before noon
flight	flights from newark to boston
ground_service	what ground transportation is available in charlotte
flight	please show me the flights from washington dc to san francisco california
airline	define airline hp
flight	flight from denver to dallas fort worth
flight	what is the earliest flight in the morning to arrive in baltimore from boston
unk	flights from baltimore to philadelphia please
flight	i need a flight from pittsburgh to new york city
flight	i would like to book a flight on us air first class from cleveland to miami on february twenty second
flight+airfare	all flights and fares from denver to pittsburgh on us air number 1039 on a thursday
abbreviation	what is mco
flight	show me all flights on thursday from atlanta to oakland which arrive in oakland before 5 o'clock pm and serve a meal
flight	show me all us air flights from atlanta to denver for the day after tomorrow
flight	show flights first class on american from dallas fort worth to san francisco international
flight	can you list all the flights between phoenix and las vegas
ground_service	ground transportation in denver
airfare	okay i 've got somebody else who wants to take a round trip ticket from charlotte to montreal
airline	what airlines have business class service between boston and san francisco
airfare	what are the fares for flights from la to newark leaving monday morning
flight	which are the flights from denver to baltimore or washington dc
aircraft	i want to go and take a plane in atlanta and fly to boston
flight	what flights are there from memphis to las vegas
flight	list the nonstop flights from miami to new york on a sunday along with the fares that are less than 466 dollars
flight	flights from cincinnati to denver on american airlines
flight	i 'd like a flight from boston to san francisco leaving in the afternoon any time please
flight	can you list all flights from washington to toronto
flight	what is the latest flight from philadelphia to boston
flight	do you have a 747 that flies from san francisco to baltimore
flight	show me the cheapest one way flights from pittsburgh to dallas leaving pittsburgh between noon and 2 pm
unk	is there a flight on eastern airlines from boston to denver
aircraft	is there a plane from boston to washington
aircraft	what 's the smallest plane that flies from pittsburgh to baltimore on eight sixteen
flight	please list all flights from denver to philadelphia two saturdays from now
flight	show me all flights from denver to san francisco
flight	what flights go from dallas to san francisco before 6 o'clock sunday afternoon
flight	oakland to philadelphia saturday
flight	show me the flights from san diego to washington dc
flight	baltimore to philadelphia
airfare	i 'd like to know the price of first class seats from atlanta to san francisco
flight	what flight do you have from dallas to denver on august twenty seventh in the morning
flight	i 'd like a flight from montreal to san diego for sunday
meal	show me all meals on flights from atlanta to washington
abbreviation	what does ord mean
flight	denver to philadelphia monday
flight	my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there
flight	i like to see the information for flights from pittsburgh to san francisco leaving pittsburgh after 12 pm
airfare	what 's the lowest round trip fare from atlanta to bwi
flight	what flights depart san francisco after 4 pm and fly to washington via indianapolis
flight	list the flights between san jose and houston
flight	what is the earliest flight that i can get from bwi to boston logan
flight	what flights from kansas city to chicago next wednesday arrive at chicago at about 7 pm
flight	eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight
flight	what is the cheapest flight from boston to bwi
abbreviation	what does us stand for
flight	show flights from philadelphia to san francisco
flight	return from miami to new york on tower air on saturdays
flight	what 's the earliest flight from boston to bwi that serves dinner
flight	flights from atlanta august second
abbreviation	what does us mean
flight	what flights go from tampa to charlotte on sunday
flight	i would like to see the flights from denver to philadelphia please
flight	please give me flight schedules from baltimore to philadelphia
flight	i need a flight from tampa to montreal
cheapest	show me the cheapest fare in the database
flight	show me flights from pittsburgh to san francisco on monday
flight	list all flights going from boston to atlanta before 5 o'clock am on thursday
flight	show flights from dallas to oakland
flight	i 'd like to find a flight from charlotte to las vegas and make a stop in st. louis
abbreviation	please explain fare code f
flight	list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth
flight	what flights from seattle to salt lake city
flight	i want to travel from pittsburgh to oakland around midnight could you give me the flights
flight	show me all the flights from indianapolis to san diego on us air
flight	show all flights from miami to jfk
flight	show me the economy flights from baltimore to dallas
airfare	what is the fare for flights from denver to atlanta
abbreviation	what is fare code f
airline	which airline has the most business class flights
flight	give me the list of flights for continental between denver and boston
flight	flights from pittsburgh to baltimore arriving between 4 and 5 pm
flight	list flights from pittsburgh to atlanta on the evening of august sixth
flight	what flights are available from denver to dallas fort worth in the afternoons
flight	show me all flights from pittsburgh to baltimore tomorrow which serve a meal
flight	what is the cheapest coach flight between dallas and baltimore leaving august tenth
flight	i need a flight after 6 pm on wednesday from oakland to salt lake city
flight	i want wednesday flights from atlanta to washington dc
flight	list all flights from burbank to denver
airfare	what is the cheapest fare from boston to san francisco
ground_fare	how much does it cost to rent a car in tacoma
unk	what 's the schedule of flights from atlanta to boston on august first
unk	what is fare code qw
flight	i would like the first flight from toronto to montreal next friday
airfare	show me fares leaving on tuesdays from denver to go to dallas
flight	what flights depart baltimore on friday and arrive in san francisco by 8 pm
flight	show me flights monday night after 8 pm for dallas to boston
flight	what is your last trip from washington to boston on august twenty seventh
flight	what is the last flight of the day to leave baltimore for boston
ground_service	what kind of ground transportation is there in denver
flight	what flights leave pittsburgh for denver on monday night
airline	which airlines fly from boston to washington dc via other cities
flight	i want to fly from boston to san francisco
flight	i 'd like to find a nonstop flight from boston to atlanta that leaves sometime in the afternoon and arrives in atlanta before evening
airfare	round trip fares from denver to philadelphia under 1000 dollars and pittsburgh to philadelphia under 1000 dollars
distance	how far is the airport from san francisco
unk	what flights are available from pittsburgh to baltimore on thursday morning
abbreviation	what does ewr mean
flight	phoenix to newark wednesday
flight	list all the flights that arrive at general mitchell international airport
flight	i actually want to go from ontario to westchester via chicago
flight	what northwest flights stop in denver
capacity	what 's the capacity of a 733
unk	what is delta 's schedule of morning flights to atlanta
flight	show me all flights from san francisco to denver
flight	show me the flights from boston to denver on august second
airfare	what is the cost of flight dl 106 from philadelphia to boston
ground_service	what ground transportation is available in newark
flight	list all flights from baltimore to philadelphia
flight	on november twenty third what flights go from atlanta to denver on delta airlines
flight	flights from atlanta to washington dc on thursday morning
aircraft	what kind of airplane is flight ua 270 from denver to philadelphia
flight	show me the flights to and from love field
airfare	what is the cost for these flights from baltimore to philadelphia
flight	i need the earliest flight from denver to boston that serves dinner
airfare	could you find me the cheapest fare from boston to san francisco
flight	i want to go from boston to washington on monday morning
unk	what are the afternoon flights from atlanta to baltimore
flight	are there any flights after 9 pm from san francisco to washington
flight	show me all the flights from san francisco to boston for august thirty first 1991
flight	list the flights arriving in atlanta from boston between 4 and 8 pm
flight	what flights leave seattle on sunday on continental
unk	how can i get from the airport in pittsburgh to downtown
flight	is there a flight from nashville to houston in the evening tomorrow
ground_service	what kind of ground transportation can you offer me in seattle
flight	what 's the earliest flight leaving denver for pittsburgh
flight	show me all the flights from boston to denver that serve lunch
flight	do you have an 819 flight from denver to san francisco
flight	okay just on november twenty third i want to fly from atlanta to denver and i need to know what flights are available
flight	i need to fly from atlanta to charlotte north carolina next monday
flight	i 'm interested in a flight on american airlines from dallas to washington
flight	please give me the flights from san francisco to washington dc
flight	i 'd also like to see a list of the flights from pittsburgh to atlanta
flight	list nonstop flights from burbank to denver arriving by 6 pm
flight	what is the cheapest flight from atlanta to pittsburgh one way
flight	show me all flights from san diego to phoenix on a boeing 737
flight	what flights are there from dallas to houston
flight	show me all the flights from milwaukee to orlando that leave after noon on wednesday and before noon on thursday
flight_time	what times does the late afternoon flight leave from washington for denver
abbreviation	show me what fare codes symbols stand for
flight	list daily flights from oakland to boston using continental airlines
flight	show me all flights from san francisco to oakland
unk	show me the flights from philadelphia to baltimore in the morning
restriction	what is restriction ap80
airfare	what are the fares for flights from charlotte to newark on tuesday and wednesday
flight	show me all flights from boston to detroit
flight	show me the earliest flight from cleveland to memphis
capacity	what are the seating capacities of planes between pittsburgh and baltimore
airfare	i would like to see the economy fares for denver to philadelphia
flight	pittsburgh to baltimore please on january one
flight	list all afternoon flights on united airlines from san francisco to denver
flight	what flights from milwaukee to san jose on wednesday on american airlines
flight	what nonstop flights between atlanta and washington leave atlanta after 6 o'clock pm
flight	what first class flights are available from denver to baltimore on july twenty fifth 1991
flight	list all flights going from boston to atlanta after 6 o'clock pm on wednesday
ground_service	what is the ground transportation available in fort worth
flight	please show me all the flights from indianapolis to san diego tomorrow
unk	what flights from salt lake city to las vegas
flight	may i see all nonstop flights from st. petersburg to charlotte
flight	san francisco to philadelphia please
abbreviation	what does mco stand for
ground_service	what is the available ground transportation between the airport in denver and downtown
flight	i need to catch an evening flight from boston to philadelphia on august first
flight	what 's the earliest flight from boston to philadelphia
flight	show me the flight classes for delta airlines
flight	what flights does delta have between boston and san francisco
flight	show me the flights from philadelphia to dallas that stop in atlanta
flight	now show me the flights from denver to atlanta
flight	the cheapest flights from atlanta to philadelphia that arrive after 12 pm on a tuesday
flight	information on afternoon flights from philadelphia to denver
flight	i need a flight from atlanta to charlotte north carolina next monday
unk	is there a flight between san francisco and boston with a stopover in dallas fort worth
flight	i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in st. louis
flight	hi i need to go from newark to nashville on american airlines leaving around 630 pm
abbreviation	what is fare code f
flight	please show me flights from dallas fort worth to atlanta on monday
flight	i 'd need information please on a flight from washington dc san francisco california
unk	show me the cheapest round trip fares from san francisco to salt lake city
ground_service	show ground transportation for pittsburgh
flight	what is the earliest flight in the morning from boston to pittsburgh
capacity	how many seats in a 734
flight	show me the flights from atlanta to washington dc on thursday evening
flight	what are all the flights available between pittsburgh and dallas fort worth
flight	is there a twa flight from las vegas to new york
ground_service	in new york i 'll need to rent a car
flight	show me all the flights from philadelphia to cincinnati
flight	actually what are the nonstop flights from las vegas to burbank on saturday may twenty two
flight	what are the flights from cleveland to indianapolis for wednesday the twelfth
ground_fare	how much is a limousine between dallas fort worth international airport and dallas
flight	united airlines stopping in denver
flight	show me all flights from milwaukee to orlando one way
flight	i want to find the first flight from baltimore to boston that serves a meal
flight	the latest flight from baltimore to oakland please and i 'd like a meal with that
flight	show me all the flights from denver to baltimore arriving may tenth
flight	i would like to fly from denver to pittsburgh on united airlines
flight	give me the earliest flight on american airlines tomorrow from st. petersburg to milwaukee
flight	show me the us air flights from atlanta to boston
flight	list all flights on continental leaving denver and arriving at chicago on monday before noon
